time,gFx,gFy,gFz,TgF
16:00:43:223,0.9981,0.0258,0.0770,1.001
16:00:43:225,1.0203,0.0161,0.1447,1.031
16:00:43:229,1.0154,0.0185,0.1843,1.032
16:00:43:235,0.9934,0.0368,0.1870,1.012
16:00:43:239,0.9739,0.0544,0.1618,0.989
16:00:43:245,0.9634,0.0591,0.1274,0.974
16:00:43:250,0.9653,0.0542,0.1005,0.972
16:00:43:255,0.9700,0.0456,0.0934,0.976
16:00:43:259,0.9719,0.0410,0.1103,0.979
16:00:43:265,0.9731,0.0395,0.1350,0.983
16:00:43:270,0.9729,0.0400,0.1523,0.986
16:00:43:275,0.9719,0.0422,0.1555,0.985
16:00:43:279,0.9714,0.0417,0.1462,0.983
16:00:43:286,0.9709,0.0408,0.1364,0.981
16:00:43:290,0.9714,0.0398,0.1328,0.981
16:00:43:295,0.9724,0.0378,0.1286,0.982
16:00:43:300,0.9719,0.0381,0.1235,0.980
16:00:43:305,0.9729,0.0388,0.1203,0.981
16:00:43:310,0.9753,0.0381,0.1227,0.984
16:00:43:315,0.9783,0.0373,0.1279,0.987
16:00:43:321,0.9790,0.0368,0.1337,0.989
16:00:43:325,0.9788,0.0376,0.1379,0.989
16:00:43:330,0.9788,0.0386,0.1389,0.989
16:00:43:335,0.9785,0.0400,0.1391,0.989
16:00:43:340,0.9748,0.0425,0.1428,0.986
16:00:43:346,0.9697,0.0449,0.1452,0.982
16:00:43:351,0.9719,0.0442,0.1450,0.984
16:00:43:355,0.9778,0.0432,0.1445,0.989
16:00:43:360,0.9792,0.0415,0.1420,0.990
16:00:43:365,0.9783,0.0400,0.1362,0.989
16:00:43:370,0.9773,0.0393,0.1288,0.987
16:00:43:375,0.9775,0.0393,0.1247,0.986
16:00:43:380,0.9780,0.0386,0.1240,0.987
16:00:43:392,0.9768,0.0390,0.1225,0.985
16:00:43:393,0.9766,0.0398,0.1198,0.985
16:00:43:395,0.9773,0.0390,0.1215,0.986
